current_row_id,current_material_label,pollutant,temperature,solution_ph,initial_concentration,response,match_method,source_paper,source_row_id,source_record_uid,source_material_label,source_reference,verified_material_group,source_study_id,source_citation,source_doi_or_url,material_identity_evidence,provenance_confidence,original_material_label,grouping_rule
145,MW350, As3+,25,5.5,0.008,0.0003,exact material + condition + response,Zhu et al. (2019),324.0,324.0,MW350,[3],Zama2017::MW350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW350,source study + source-specific material label
146,MW350, As3+,25,5.5,0.0107,0.0004,exact material + condition + response,Zhu et al. (2019),325.0,325.0,MW350,[3],Zama2017::MW350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW350,source study + source-specific material label
147,MW350, As3+,25,5.5,0.0134,0.0003,exact material + condition + response,Zhu et al. (2019),326.0,326.0,MW350,[3],Zama2017::MW350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW350,source study + source-specific material label
148,MW550, As3+,25,5.5,0.008,0.0007,exact material + condition + response,Zhu et al. (2019),327.0,327.0,MW550,[3],Zama2017::MW550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW550,source study + source-specific material label
149,MW550, As3+,25,5.5,0.0107,0.0008,exact material + condition + response,Zhu et al. (2019),328.0,328.0,MW550,[3],Zama2017::MW550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW550,source study + source-specific material label
150,MW550, As3+,25,5.5,0.0134,0.0008,exact material + condition + response,Zhu et al. (2019),329.0,329.0,MW550,[3],Zama2017::MW550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW550,source study + source-specific material label
151,MW650, As3+,25,5.5,0.008,0.0005,exact material + condition + response,Zhu et al. (2019),330.0,330.0,MW650,[3],Zama2017::MW650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW650,source study + source-specific material label
152,MW650, As3+,25,5.5,0.0107,0.0003,exact material + condition + response,Zhu et al. (2019),331.0,331.0,MW650,[3],Zama2017::MW650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW650,source study + source-specific material label
153,MW650, As3+,25,5.5,0.0134,0.0005,exact material + condition + response,Zhu et al. (2019),332.0,332.0,MW650,[3],Zama2017::MW650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,MW650,source study + source-specific material label
154,PS350, As3+,25,5.5,0.008,0.0019,exact material + condition + response,Zhu et al. (2019),333.0,333.0,PS350,[3],Zama2017::PS350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PS350,source study + source-specific material label
155,PS350, As3+,25,5.5,0.0107,0.0025,exact material + condition + response,Zhu et al. (2019),334.0,334.0,PS350,[3],Zama2017::PS350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PS350,source study + source-specific material label
156,PS350, As3+,25,5.5,0.0134,0.0032,exact material + condition + response,Zhu et al. (2019),335.0,335.0,PS350,[3],Zama2017::PS350,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PS350,source study + source-specific material label
157,PS450, As3+,25,5.5,0.008,0.0023,exact material + condition + response,Zhu et al. (2019),336.0,336.0,PS450,[3],Zama2017::PS450,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PS450,source study + source-specific material label
158,PS450, As3+,25,5.5,0.0107,0.0019,exact material + condition + response,Zhu et al. (2019),337.0,337.0,PS450,[3],Zama2017::PS450,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PS450,source study + source-specific material label
159,PS550, As3+,25,5.5,0.008,0.0021,exact material + condition + response,Zhu et al. (2019),338.0,338.0,PS550,[3],Zama2017::PS550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PS550,source study + source-specific material label
160,PS550, As3+,25,5.5,0.0107,0.0024,exact material + condition + response,Zhu et al. (2019),339.0,339.0,PS550,[3],Zama2017::PS550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PS550,source study + source-specific material label
161,PS550, As3+,25,5.5,0.0134,0.0027,exact material + condition + response,Zhu et al. (2019),340.0,340.0,PS550,[3],Zama2017::PS550,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PS550,source study + source-specific material label
162,PS650, As3+,25,5.5,0.008,0.0017,exact material + condition + response,Zhu et al. (2019),341.0,341.0,PS650,[3],Zama2017::PS650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PS650,source study + source-specific material label
163,PS650, As3+,25,5.5,0.0107,0.0018,exact material + condition + response,Zhu et al. (2019),342.0,342.0,PS650,[3],Zama2017::PS650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PS650,source study + source-specific material label
164,PS650, As3+,25,5.5,0.0134,0.002,exact material + condition + response,Zhu et al. (2019),343.0,343.0,PS650,[3],Zama2017::PS650,Zama2017,"Zama et al., The role of biochar properties in influencing the sorption and desorption of Pb(II), Cd(II) and As(III) in aqueous solution, Journal of Cleaner Production 148 (2017) 127-136.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,PS650,source study + source-specific material label
165,BBH600,Pb2+,20,5.0,0.2,0.1456,unique condition + response; material label reconciled,Zhu et al. (2019),78.0,78.0,BBH600/0.15,"[4, 5]",Shen2015_2017::BBH600/0.15,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/0.15,source study + source-specific material label
166,BBH600,Pb2+,20,5.0,0.0667,0.0655,unique condition + response; material label reconciled,Zhu et al. (2019),79.0,79.0,BBH600/0.15,"[4, 5]",Shen2015_2017::BBH600/0.15,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/0.15,source study + source-specific material label
167,BBH600,Pb2+,20,5.0,0.04,0.0399,unique condition + response; material label reconciled,Zhu et al. (2019),80.0,80.0,BBH600/0.15,"[4, 5]",Shen2015_2017::BBH600/0.15,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/0.15,source study + source-specific material label
168,BBH600,Pb2+,20,5.0,0.02,0.02,condition + response + source material profile,Zhu et al. (2019),81.0,81.0,BBH600/0.15,"[4, 5]",Shen2015_2017::BBH600/0.15,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/0.15,source study + source-specific material label
169,BBH600,Pb2+,20,2.0,0.2,0.0532,unique condition + response; material label reconciled,Zhu et al. (2019),82.0,82.0,BBH600/0.15,"[4, 5]",Shen2015_2017::BBH600/0.15,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/0.15,source study + source-specific material label
170,BBH600,Pb2+,20,3.0,0.2,0.089,unique condition + response; material label reconciled,Zhu et al. (2019),83.0,83.0,BBH600/0.15,"[4, 5]",Shen2015_2017::BBH600/0.15,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/0.15,source study + source-specific material label
171,BBH600,Pb2+,20,4.0,0.2,0.1432,unique condition + response; material label reconciled,Zhu et al. (2019),84.0,84.0,BBH600/0.15,"[4, 5]",Shen2015_2017::BBH600/0.15,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/0.15,source study + source-specific material label
172,BBH600,Pb2+,20,6.0,0.2,0.1596,unique condition + response; material label reconciled,Zhu et al. (2019),85.0,85.0,BBH600/0.15,"[4, 5]",Shen2015_2017::BBH600/0.15,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/0.15,source study + source-specific material label
173,BBH600,Pb2+,20,7.0,0.2,0.1778,unique condition + response; material label reconciled,Zhu et al. (2019),86.0,86.0,BBH600/0.15,"[4, 5]",Shen2015_2017::BBH600/0.15,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/0.15,source study + source-specific material label
174,BBH600,Pb2+,20,8.0,0.2,0.1997,unique condition + response; material label reconciled,Zhu et al. (2019),87.0,87.0,BBH600/0.15,"[4, 5]",Shen2015_2017::BBH600/0.15,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/0.15,source study + source-specific material label
175,BBH600,Pb2+,20,9.0,0.2,0.2,unique condition + response; material label reconciled,Zhu et al. (2019),88.0,88.0,BBH600/0.15,"[4, 5]",Shen2015_2017::BBH600/0.15,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/0.15,source study + source-specific material label
176,BBH600,Pb2+,20,10.0,0.2,0.2,unique condition + response; material label reconciled,Zhu et al. (2019),89.0,89.0,BBH600/0.15,"[4, 5]",Shen2015_2017::BBH600/0.15,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/0.15,source study + source-specific material label
177,BBH600,Pb2+,20,5.0,0.2,0.0852,unique condition + response; material label reconciled,Zhu et al. (2019),90.0,90.0,BBH600/2.0,"[4, 5]",Shen2015_2017::BBH600/2.0,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/2.0,source study + source-specific material label
178,BBH600,Pb2+,20,5.0,0.0667,0.0597,unique condition + response; material label reconciled,Zhu et al. (2019),91.0,91.0,BBH600/2.0,"[4, 5]",Shen2015_2017::BBH600/2.0,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/2.0,source study + source-specific material label
179,BBH600,Pb2+,20,5.0,0.04,0.0392,unique condition + response; material label reconciled,Zhu et al. (2019),92.0,92.0,BBH600/2.0,"[4, 5]",Shen2015_2017::BBH600/2.0,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/2.0,source study + source-specific material label
180,BBH600,Pb2+,20,5.0,0.02,0.02,condition + response + source material profile,Zhu et al. (2019),93.0,93.0,BBH600/2.0,"[4, 5]",Shen2015_2017::BBH600/2.0,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/2.0,source study + source-specific material label
181,BBH600,Pb2+,20,2.0,0.2,0.0434,unique condition + response; material label reconciled,Zhu et al. (2019),94.0,94.0,BBH600/2.0,"[4, 5]",Shen2015_2017::BBH600/2.0,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/2.0,source study + source-specific material label
182,BBH600,Pb2+,20,3.0,0.2,0.0553,unique condition + response; material label reconciled,Zhu et al. (2019),95.0,95.0,BBH600/2.0,"[4, 5]",Shen2015_2017::BBH600/2.0,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/2.0,source study + source-specific material label
183,BBH600,Pb2+,20,4.0,0.2,0.0777,unique condition + response; material label reconciled,Zhu et al. (2019),96.0,96.0,BBH600/2.0,"[4, 5]",Shen2015_2017::BBH600/2.0,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/2.0,source study + source-specific material label
184,BBH600,Pb2+,20,6.0,0.2,0.0889,unique condition + response; material label reconciled,Zhu et al. (2019),97.0,97.0,BBH600/2.0,"[4, 5]",Shen2015_2017::BBH600/2.0,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/2.0,source study + source-specific material label
185,BBH600,Pb2+,20,7.0,0.2,0.1151,unique condition + response; material label reconciled,Zhu et al. (2019),98.0,98.0,BBH600/2.0,"[4, 5]",Shen2015_2017::BBH600/2.0,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/2.0,source study + source-specific material label
186,BBH600,Pb2+,20,8.0,0.2,0.1603,unique condition + response; material label reconciled,Zhu et al. (2019),99.0,99.0,BBH600/2.0,"[4, 5]",Shen2015_2017::BBH600/2.0,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/2.0,source study + source-specific material label
187,BBH600,Pb2+,20,9.0,0.2,0.1769,unique condition + response; material label reconciled,Zhu et al. (2019),100.0,100.0,BBH600/2.0,"[4, 5]",Shen2015_2017::BBH600/2.0,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/2.0,source study + source-specific material label
188,BBH600,Pb2+,20,10.0,0.2,0.1857,unique condition + response; material label reconciled,Zhu et al. (2019),101.0,101.0,BBH600/2.0,"[4, 5]",Shen2015_2017::BBH600/2.0,Shen2015_2017,"Shen et al., Salisbury biochar lead-sorption studies, Bioresource Technology 193 (2015) 553-556 and Science of the Total Environment 609 (2017) 1401-1410.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,BBH600/2.0,source study + source-specific material label
189,CI300, Cd2+,25,3.0,1.7792,0.2829,exact material + condition + response,Zhu et al. (2019),102.0,102.0,CI300,[6],Cui2016_Canna::CI300,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI300,source study + source-specific material label
190,CI300, Cd2+,25,4.0,1.7792,0.5774,exact material + condition + response,Zhu et al. (2019),103.0,103.0,CI300,[6],Cui2016_Canna::CI300,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI300,source study + source-specific material label
191,CI300, Cd2+,25,5.0,1.7792,0.6645,exact material + condition + response,Zhu et al. (2019),104.0,104.0,CI300,[6],Cui2016_Canna::CI300,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI300,source study + source-specific material label
192,CI300, Cd2+,25,6.0,1.7792,0.6405,exact material + condition + response,Zhu et al. (2019),105.0,105.0,CI300,[6],Cui2016_Canna::CI300,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI300,source study + source-specific material label
193,CI300, Cd2+,25,7.0,1.7792,0.6307,exact material + condition + response,Zhu et al. (2019),106.0,106.0,CI300,[6],Cui2016_Canna::CI300,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI300,source study + source-specific material label
194,CI300, Cd2+,25,8.0,1.7792,0.7232,exact material + condition + response,Zhu et al. (2019),107.0,107.0,CI300,[6],Cui2016_Canna::CI300,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI300,source study + source-specific material label
195,CI400, Cd2+,25,3.0,1.7792,0.3985,exact material + condition + response,Zhu et al. (2019),108.0,108.0,CI400,[6],Cui2016_Canna::CI400,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI400,source study + source-specific material label
196,CI400, Cd2+,25,4.0,1.7792,0.8051,exact material + condition + response,Zhu et al. (2019),109.0,109.0,CI400,[6],Cui2016_Canna::CI400,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI400,source study + source-specific material label
197,CI400, Cd2+,25,5.0,1.7792,0.8754,exact material + condition + response,Zhu et al. (2019),110.0,110.0,CI400,[6],Cui2016_Canna::CI400,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI400,source study + source-specific material label
198,CI400, Cd2+,25,6.0,1.7792,0.8683,exact material + condition + response,Zhu et al. (2019),111.0,111.0,CI400,[6],Cui2016_Canna::CI400,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI400,source study + source-specific material label
199,CI400, Cd2+,25,7.0,1.7792,0.8602,exact material + condition + response,Zhu et al. (2019),112.0,112.0,CI400,[6],Cui2016_Canna::CI400,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI400,source study + source-specific material label
200,CI400, Cd2+,25,8.0,1.7792,0.967,exact material + condition + response,Zhu et al. (2019),113.0,113.0,CI400,[6],Cui2016_Canna::CI400,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI400,source study + source-specific material label
201,CI500, Cd2+,25,3.0,1.7792,0.9697,exact material + condition + response,Zhu et al. (2019),114.0,114.0,CI500,[6],Cui2016_Canna::CI500,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI500,source study + source-specific material label
202,CI500, Cd2+,25,4.0,1.7792,1.4723,exact material + condition + response,Zhu et al. (2019),115.0,115.0,CI500,[6],Cui2016_Canna::CI500,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI500,source study + source-specific material label
203,CI500, Cd2+,25,5.0,1.7792,1.5185,exact material + condition + response,Zhu et al. (2019),116.0,116.0,CI500,[6],Cui2016_Canna::CI500,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI500,source study + source-specific material label
204,CI500, Cd2+,25,6.0,1.7792,1.5105,exact material + condition + response,Zhu et al. (2019),117.0,117.0,CI500,[6],Cui2016_Canna::CI500,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI500,source study + source-specific material label
205,CI500, Cd2+,25,7.0,1.7792,1.5568,exact material + condition + response,Zhu et al. (2019),118.0,118.0,CI500,[6],Cui2016_Canna::CI500,Cui2016_Canna,"Cui et al., Potential mechanisms of cadmium removal from aqueous solution by Canna indica derived biochar, Science of the Total Environment 562 (2016) 517-525.",,"Current row matched to the official Zhu et al. (2019) SI by material, conditions, pollutant, and response.",row-level verified against official SI,CI500,source study + source-specific material label
